{'question': 'What medical degrees does a certain person have?', 'correctness': False}
{'question': 'During what time period did a certain person study for a specific degree?', 'correctness': False}
{'question': 'When was a certain person first employed at a certain hospital?', 'correctness': False}
{'question': 'In what city is a certain hospital located?', 'correctness': False}
{'question': 'In what country is a certain city located?', 'correctness': False}
{'question': 'Who are the members of a certain union at a certain point in time?', 'correctness': False}
{'question': 'What role does a certain person have within a certain union group at a certain point in time?', 'correctness': False}
{'question': 'What is the evaluation statement given by a certain doctor for a certain employee?', 'correctness': False}
{'question': 'What articles is a specific book or CD composed of?', 'correctness': False}
{'question': 'How many pages does a particular book contain?', 'correctness': False}
{'question': 'When was a certain book or CD published?', 'correctness': False}
{'question': 'When did a certain seminar take place?', 'correctness': False}
{'question': 'What articles were presented in a certain seminar?', 'correctness': False}
{'question': 'Where did a certain seminar take place?', 'correctness': False}
{'question': 'is at least one article is always presented at each seminar?', 'correctness': False}
